94,94,97.5,100,1
96,96,95,97.5,1
100,94,90,100,1
100,90,92.5,100,1
98,92,95,97.5,1
94,86,100,100,1
100,82,97.5,100,1
88,96,95,100,1
90,94,97.5,97.5,1
96,90,95,97.5,1
94,94,92.5,97.5,1
96,92,92.5,97.5,1
98,84,95,100,1
96,88,92.5,100,1
94,90,95,97.5,1
94,90,95,97.5,1
98,86,95,97.5,1
90,88,97.5,100,1
88,92,95,100,1
92,88,95,100,1
96,84,95,100,1
86,94,97.5,97.5,1
90,90,97.5,97.5,1
98,92,87.5,97.5,1
90,92,92.5,100,1
90,92,92.5,100,1
94,88,92.5,100,1
90,92,95,97.5,1
94,98,90,92.5,1
90,94,90,100,1
94,90,90,100,1
98,86,90,100,1
90,94,92.5,97.5,1
92,92,92.5,97.5,1
94,90,92.5,97.5,1
94,90,92.5,97.5,1
94,92,95,92.5,1
92,86,95,100,1
98,80,95,100,1
96,82,97.5,97.5,1
92,88,95,97.5,1
96,84,95,97.5,1
94,86,100,92.5,1
88,94,92.5,97.5,1
92,90,92.5,97.5,1
90,92,95,95,1
92,90,95,95,1
92,92,90,97.5,1
98,86,90,97.5,1
90,86,97.5,97.5,1
88,88,100,95,1
92,94,90,95,1
88,90,92.5,100,1
90,88,92.5,100,1
92,86,92.5,100,1
94,84,92.5,100,1
92,86,95,97.5,1
96,82,95,97.5,1
92,96,85,97.5,1
88,82,100,100,1
96,84,90,100,1
90,90,92.5,97.5,1
90,90,92.5,97.5,1
92,88,92.5,97.5,1
94,86,92.5,97.5,1
96,84,92.5,97.5,1
92,90,87.5,100,1
94,88,90,97.5,1
94,88,90,97.5,1
96,86,90,97.5,1
88,86,95,100,1
90,84,95,100,1
92,92,87.5,97.5,1
94,90,90,95,1
94,82,92.5,100,1
96,80,92.5,100,1
67,34,89,38,0
76,78,98,58,0
96,80,95,97.5,1
84,94,92.5,97.5,1
90,88,92.5,97.5,1
92,86,92.5,97.5,1
92,86,92.5,97.5,1
94,84,95,95,1
94,86,90,97.5,1
92,88,92.5,95,1
92,88,92.5,95,1
88,84,95,100,1
92,80,95,100,1
66,26,26,32,0
98,84,85,100,1
88,84,97.5,97.5,1
